Product ID,Location,Risk Score,Backorder Risk,Distribution Center
10006715,USA,High,72,Center F
10007265,USA,High,72,Center F
10007285,USA,High,72,Center F
10007295,USA,High,72,Center F
10007355,USA,High,72,Center F
10007365,USA,High,72,Center F
10007815,USA,High,72,Center F
10007985,USA,High,72,Center F
10008075,USA,High,72,Center F
10008085,USA,High,72,Center F
10008865,USA,High,72,Center F
10010145,USA,High,72,Center F
10010405,USA,High,72,Center F
10011615,USA,High,72,Center F
10011945,USA,High,72,Center F
10012265,USA,High,72,Center F
10012585,USA,High,72,Center F
10012635,USA,High,72,Center F
10012685,USA,High,72,Center F
10013895,USA,High,72,Center F
10015205,USA,High,72,Center F
10015295,USA,High,72,Center F
10015435,USA,High,72,Center F
10015485,USA,High,72,Center F
10015715,USA,High,72,Center F
10016175,USA,High,72,Center F
10016255,USA,High,72,Center F
10016725,USA,High,72,Center F
10031615,USA,High,72,Center F
10031635,USA,High,72,Center F
10032325,USA,High,72,Center F
10032995,USA,High,72,Center F
10033175,USA,High,72,Center F
10033335,USA,High,72,Center F
10033395,USA,High,72,Center F
10033915,USA,High,72,Center F
10033975,USA,High,72,Center F
10034405,USA,High,72,Center F
10034555,USA,High,72,Center F
10034635,USA,High,72,Center F
10034725,USA,High,72,Center F
10035755,USA,High,72,Center F
10036005,USA,High,72,Center F
10036185,USA,High,72,Center F
10036735,USA,High,72,Center F
10036765,USA,High,72,Center F
10037075,USA,High,72,Center F
10037305,USA,High,72,Center F
10037445,USA,High,72,Center F
10037485,USA,High,72,Center F
10037985,USA,High,72,Center F
10037995,USA,High,72,Center F
10038465,USA,High,72,Center F
10038545,USA,High,72,Center F
10038895,USA,High,72,Center F
10038995,USA,High,72,Center F
10039295,USA,High,72,Center F
10000395,USA,High,62,Center F
10000695,USA,High,62,Center F
10001125,USA,High,62,Center F
10001195,USA,High,62,Center F
10001375,USA,High,62,Center F
10001795,USA,High,62,Center F
10002635,USA,High,62,Center F
10002815,USA,High,62,Center F
10003215,USA,High,62,Center F
10003275,USA,High,62,Center F
10003505,USA,High,62,Center F
10003775,USA,High,62,Center F
10004115,USA,High,62,Center F
10004325,USA,High,62,Center F
10004585,USA,High,62,Center F
10005195,USA,High,62,Center F
10005795,USA,High,62,Center F
10005815,USA,High,62,Center F
10006755,USA,High,62,Center F
10007195,USA,High,62,Center F
10007445,USA,High,62,Center F
10008005,USA,High,62,Center F
10008325,USA,High,62,Center F
10009145,USA,High,62,Center F
10009565,USA,High,62,Center F
10011005,USA,High,62,Center F
10011045,USA,High,62,Center F
10012555,USA,High,62,Center F
10012565,USA,High,62,Center F
10014235,USA,High,62,Center F
10014355,USA,High,62,Center F
10014625,USA,High,62,Center F
10014905,USA,High,62,Center F
10015275,USA,High,62,Center F
10015495,USA,High,62,Center F
10015575,USA,High,62,Center F
10016315,USA,High,62,Center F
10016835,USA,High,62,Center F
10031555,USA,High,62,Center F
10031905,USA,High,62,Center F
10031995,USA,High,62,Center F
10032315,USA,High,62,Center F
10032435,USA,High,62,Center F
10032475,USA,High,62,Center F
10033285,USA,High,62,Center F
10033665,USA,High,62,Center F
10034075,USA,High,62,Center F
10034295,USA,High,62,Center F
10034315,USA,High,62,Center F
10034925,USA,High,62,Center F
10035145,USA,High,62,Center F
10035215,USA,High,62,Center F
10035515,USA,High,62,Center F
10035615,USA,High,62,Center F
10035835,USA,High,62,Center F
10035915,USA,High,62,Center F
10036105,USA,High,62,Center F
10036235,USA,High,62,Center F
10036495,USA,High,62,Center F
10037155,USA,High,62,Center F
10037555,USA,High,62,Center F
10037575,USA,High,62,Center F
10037965,USA,High,62,Center F
10038265,USA,High,62,Center F
10038305,USA,High,62,Center F
10038425,USA,High,62,Center F
10038565,USA,High,62,Center F
10038795,USA,High,62,Center F
10039425,USA,High,62,Center F
10039485,USA,High,62,Center F
10039735,USA,High,62,Center F
10039755,USA,High,62,Center F
10000115,USA,High,91,Center F
10000215,USA,High,91,Center F
10000375,USA,High,91,Center F
10000775,USA,High,91,Center F
10000855,USA,High,91,Center F
10001465,USA,High,91,Center F
10001595,USA,High,91,Center F
10002335,USA,High,91,Center F
10002705,USA,High,91,Center F
10002805,USA,High,91,Center F
10003735,USA,High,91,Center F
10003815,USA,High,91,Center F
10003845,USA,High,91,Center F
10003935,USA,High,91,Center F
10004045,USA,High,91,Center F
10004435,USA,High,91,Center F
10004705,USA,High,91,Center F
10005105,USA,High,91,Center F
10005255,USA,High,91,Center F
10005695,USA,High,91,Center F
10005845,USA,High,91,Center F
10005995,USA,High,91,Center F
10006835,USA,High,91,Center F
10006945,USA,High,91,Center F
10007385,USA,High,91,Center F
10008145,USA,High,91,Center F
10008175,USA,High,91,Center F
10008685,USA,High,91,Center F
10009305,USA,High,91,Center F
10010235,USA,High,91,Center F
10010265,USA,High,91,Center F
10010275,USA,High,91,Center F
10010585,USA,High,91,Center F
10011215,USA,High,91,Center F
10011765,USA,High,91,Center F
10011925,USA,High,91,Center F
10012095,USA,High,91,Center F
10012195,USA,High,91,Center F
10012875,USA,High,91,Center F
10013145,USA,High,91,Center F
10013635,USA,High,91,Center F
10013715,USA,High,91,Center F
10013785,USA,High,91,Center F
10014315,USA,High,91,Center F
10014495,USA,High,91,Center F
10014765,USA,High,91,Center F
10015675,USA,High,91,Center F
10015815,USA,High,91,Center F
10015985,USA,High,91,Center F
10016115,USA,High,91,Center F
10031975,USA,High,91,Center F
10032155,USA,High,91,Center F
10032915,USA,High,91,Center F
10033555,USA,High,91,Center F
10033755,USA,High,91,Center F
10033845,USA,High,91,Center F
10034285,USA,High,91,Center F
10034735,USA,High,91,Center F
10035495,USA,High,91,Center F
10035595,USA,High,91,Center F
10036045,USA,High,91,Center F
10036095,USA,High,91,Center F
10036425,USA,High,91,Center F
10036975,USA,High,91,Center F
10037665,USA,High,91,Center F
10037845,USA,High,91,Center F
10037925,USA,High,91,Center F
10039605,USA,High,91,Center F
10039665,USA,High,91,Center F
10000265,USA,High,73,Center F
10000485,USA,High,73,Center F
10000605,USA,High,73,Center F
10001605,USA,High,73,Center F
10001895,USA,High,73,Center F
10002045,USA,High,73,Center F
10002235,USA,High,73,Center F
10002625,USA,High,73,Center F
10003325,USA,High,73,Center F
10003395,USA,High,73,Center F
10003725,USA,High,73,Center F
10003745,USA,High,73,Center F
10004095,USA,High,73,Center F
10004315,USA,High,73,Center F
10004955,USA,High,73,Center F
10005745,USA,High,73,Center F
10006195,USA,High,73,Center F
10006595,USA,High,73,Center F
10006625,USA,High,73,Center F
10006745,USA,High,73,Center F
10007185,USA,High,73,Center F
10007505,USA,High,73,Center F
10007605,USA,High,73,Center F
10007725,USA,High,73,Center F
10007865,USA,High,73,Center F
10008025,USA,High,73,Center F
10008305,USA,High,73,Center F
10008315,USA,High,73,Center F
10008695,USA,High,73,Center F
10009405,USA,High,73,Center F
10009415,USA,High,73,Center F
10009835,USA,High,73,Center F
10010845,USA,High,73,Center F
10011575,USA,High,73,Center F
10011665,USA,High,73,Center F
10012455,USA,High,73,Center F
10012605,USA,High,73,Center F
10012705,USA,High,73,Center F
10013115,USA,High,73,Center F
10013835,USA,High,73,Center F
10013845,USA,High,73,Center F
10014505,USA,High,73,Center F
10015805,USA,High,73,Center F
10016045,USA,High,73,Center F
10016285,USA,High,73,Center F
10016375,USA,High,73,Center F
10016755,USA,High,73,Center F
10031735,USA,High,73,Center F
10032415,USA,High,73,Center F
10032805,USA,High,73,Center F
10032955,USA,High,73,Center F
10033105,USA,High,73,Center F
10033495,USA,High,73,Center F
10034235,USA,High,73,Center F
10034665,USA,High,73,Center F
10034695,USA,High,73,Center F
10035035,USA,High,73,Center F
10035325,USA,High,73,Center F
10036265,USA,High,73,Center F
10036435,USA,High,73,Center F
10036935,USA,High,73,Center F
10036965,USA,High,73,Center F
10037825,USA,High,73,Center F
10038175,USA,High,73,Center F
10038245,USA,High,73,Center F
10039375,USA,High,73,Center F
10039695,USA,High,73,Center F
10000165,USA,High,70,Center F
10000995,USA,High,70,Center F
10001445,USA,High,70,Center F
10001575,USA,High,70,Center F
10002605,USA,High,70,Center F
10002735,USA,High,70,Center F
10002975,USA,High,70,Center F
10003065,USA,High,70,Center F
10003515,USA,High,70,Center F
10004085,USA,High,70,Center F
10004185,USA,High,70,Center F
10004695,USA,High,70,Center F
10005065,USA,High,70,Center F
10005645,USA,High,70,Center F
10005785,USA,High,70,Center F
10005865,USA,High,70,Center F
10005885,USA,High,70,Center F
10006895,USA,High,70,Center F
10007595,USA,High,70,Center F
10007635,USA,High,70,Center F
10007675,USA,High,70,Center F
10007685,USA,High,70,Center F
10007705,USA,High,70,Center F
10009185,USA,High,70,Center F
10009375,USA,High,70,Center F
10009915,USA,High,70,Center F
10009985,USA,High,70,Center F
10010175,USA,High,70,Center F
10010375,USA,High,70,Center F
10011755,USA,High,70,Center F
10011895,USA,High,70,Center F
10012015,USA,High,70,Center F
10012055,USA,High,70,Center F
10012575,USA,High,70,Center F
10012665,USA,High,70,Center F
10012825,USA,High,70,Center F
10013505,USA,High,70,Center F
10014285,USA,High,70,Center F
10014445,USA,High,70,Center F
10015555,USA,High,70,Center F
10016195,USA,High,70,Center F
10016475,USA,High,70,Center F
10016675,USA,High,70,Center F
10032015,USA,High,70,Center F
10032025,USA,High,70,Center F
10032035,USA,High,70,Center F
10032045,USA,High,70,Center F
10032285,USA,High,70,Center F
10032305,USA,High,70,Center F
10032515,USA,High,70,Center F
10033015,USA,High,70,Center F
10033735,USA,High,70,Center F
10033865,USA,High,70,Center F
10033885,USA,High,70,Center F
10034035,USA,High,70,Center F
10034255,USA,High,70,Center F
10035445,USA,High,70,Center F
10036345,USA,High,70,Center F
10036505,USA,High,70,Center F
10036645,USA,High,70,Center F
10037735,USA,High,70,Center F
10038115,USA,High,70,Center F
10038655,USA,High,70,Center F
10039785,USA,High,70,Center F
10000005,USA,High,77,Center F
10000025,USA,High,84,Center F
10000035,USA,High,71,Center F
10000045,USA,High,59,Center F
10000055,USA,High,51,Center F
10000065,USA,High,79,Center F
10000085,USA,High,82,Center F
10000095,USA,High,78,Center F
10000105,USA,High,82,Center F
10000125,USA,High,80,Center F
10000135,USA,High,79,Center F
10000145,USA,High,95,Center F
10000155,USA,High,83,Center F
10000175,USA,High,71,Center F
10000185,USA,High,89,Center F
10000195,USA,High,68,Center F
10000205,USA,High,65,Center F
10000225,USA,High,60,Center F
10000235,USA,High,81,Center F
10000245,USA,High,78,Center F
10000255,USA,High,71,Center F
10000275,USA,High,60,Center F
10000285,USA,High,58,Center F
10000295,USA,High,92,Center F
10000305,USA,High,60,Center F
10000315,USA,High,54,Center F
10000325,USA,High,63,Center F
10000335,USA,High,86,Center F
10000345,USA,High,57,Center F
10000365,USA,High,89,Center F
10000385,USA,High,78,Center F
10000415,USA,High,55,Center F
10000425,USA,High,74,Center F
10000435,USA,High,88,Center F
10000445,USA,High,81,Center F
10000455,USA,High,55,Center F
10000465,USA,High,81,Center F
10000475,USA,High,90,Center F
10000495,USA,High,75,Center F
10000505,USA,High,78,Center F
10000515,USA,High,90,Center F
10000525,USA,High,81,Center F
10000545,USA,High,66,Center F
10000555,USA,High,66,Center F
10000565,USA,High,83,Center F
10000575,USA,High,60,Center F
10000585,USA,High,54,Center F
10000595,USA,High,76,Center F
10000615,USA,High,85,Center F
10000625,USA,High,64,Center F
10000635,USA,High,71,Center F
10000645,USA,High,54,Center F
10000655,USA,High,79,Center F
10000665,USA,High,71,Center F
10000685,USA,High,66,Center F
10000705,USA,High,95,Center F
10000715,USA,High,60,Center F
10000725,USA,High,58,Center F
10000735,USA,High,92,Center F
10000745,USA,High,93,Center F
10000755,USA,High,54,Center F
10000765,USA,High,71,Center F
10000785,USA,High,93,Center F
10000795,USA,High,85,Center F
10000805,USA,High,55,Center F
10000815,USA,High,76,Center F
10000825,USA,High,69,Center F
10000835,USA,High,52,Center F
10000865,USA,High,87,Center F
10000875,USA,High,55,Center F
10000885,USA,High,57,Center F
10000895,USA,High,86,Center F
10000905,USA,High,81,Center F
10000915,USA,High,94,Center F
10000925,USA,High,78,Center F
10000935,USA,High,80,Center F
10000945,USA,High,85,Center F
10000955,USA,High,68,Center F
10000965,USA,High,53,Center F
10000975,USA,High,63,Center F
10000985,USA,High,82,Center F
10001005,USA,High,54,Center F
10001015,USA,High,74,Center F
10001025,USA,High,94,Center F
10001035,USA,High,81,Center F
10001045,USA,High,69,Center F
10001055,USA,High,79,Center F
10001065,USA,High,83,Center F
10001075,USA,High,83,Center F
10001085,USA,High,77,Center F
10001095,USA,High,94,Center F
10001105,USA,High,53,Center F
10001115,USA,High,65,Center F
10001135,USA,High,69,Center F
10001145,USA,High,54,Center F
10001155,USA,High,71,Center F
10001175,USA,High,64,Center F
10001185,USA,High,65,Center F
10001205,USA,High,66,Center F
10001215,USA,High,89,Center F
10001225,USA,High,65,Center F
10001235,USA,High,89,Center F
10001245,USA,High,53,Center F
10001255,USA,High,52,Center F
10001265,USA,High,78,Center F
10001285,USA,High,88,Center F
10001295,USA,High,88,Center F
10001305,USA,High,56,Center F
10001315,USA,High,54,Center F
10001325,USA,High,52,Center F
10001335,USA,High,76,Center F
10001345,USA,High,81,Center F
10001355,USA,High,78,Center F
10001365,USA,High,51,Center F
10001385,USA,High,87,Center F
10001395,USA,High,90,Center F
10001405,USA,High,53,Center F
10001415,USA,High,84,Center F
10001425,USA,High,82,Center F
10001435,USA,High,76,Center F
10001455,USA,High,95,Center F
10001475,USA,High,82,Center F
10001485,USA,High,83,Center F
10001495,USA,High,65,Center F
10001505,USA,High,75,Center F
10001515,USA,High,84,Center F
10001525,USA,High,77,Center F
10001535,USA,High,64,Center F
10001545,USA,High,76,Center F
10001555,USA,High,79,Center F
10001565,USA,High,92,Center F
10001585,USA,High,56,Center F
10001615,USA,High,86,Center F
10001625,USA,High,64,Center F
10001635,USA,High,87,Center F
10001645,USA,High,77,Center F
10001655,USA,High,84,Center F
10001665,USA,High,54,Center F
10001675,USA,High,54,Center F
10001685,USA,High,64,Center F
10001695,USA,High,57,Center F
10001705,USA,High,89,Center F
10001715,USA,High,93,Center F
10001725,USA,High,57,Center F
10001735,USA,High,71,Center F
10001755,USA,High,53,Center F
10001765,USA,High,80,Center F
10001775,USA,High,78,Center F
10001785,USA,High,78,Center F
10001805,USA,High,85,Center F
10001815,USA,High,53,Center F
10001825,USA,High,84,Center F
10001835,USA,High,56,Center F
10001855,USA,High,76,Center F
10001875,USA,High,81,Center F
10001885,USA,High,77,Center F
10001905,USA,High,88,Center F
10001915,USA,High,92,Center F
10001925,USA,High,59,Center F
10001935,USA,High,94,Center F
10001945,USA,High,81,Center F
10001955,USA,High,85,Center F
10001965,USA,High,63,Center F
10001975,USA,High,66,Center F
10001985,USA,High,79,Center F
10001995,USA,High,55,Center F
10002015,USA,High,69,Center F
10002035,USA,High,80,Center F
10002055,USA,High,58,Center F
10002065,USA,High,88,Center F
10002085,USA,High,64,Center F
10002095,USA,High,64,Center F
10002105,USA,High,59,Center F
10002115,USA,High,95,Center F
10002125,USA,High,58,Center F
10002135,USA,High,74,Center F
10002145,USA,High,93,Center F
10002155,USA,High,87,Center F
10002165,USA,High,80,Center F
10002175,USA,High,74,Center F
10002185,USA,High,84,Center F
10002195,USA,High,87,Center F
10002205,USA,High,76,Center F
10002215,USA,High,51,Center F
10002225,USA,High,81,Center F
10002245,USA,High,69,Center F
10002255,USA,High,93,Center F
10002275,USA,High,77,Center F
10002285,USA,High,83,Center F
10002295,USA,High,87,Center F
10002305,USA,High,95,Center F
10002315,USA,High,80,Center F
10002325,USA,High,55,Center F
10002345,USA,High,87,Center F
10002355,USA,High,82,Center F
10002365,USA,High,54,Center F
10002375,USA,High,76,Center F
10002385,USA,High,89,Center F
10002395,USA,High,82,Center F
10002405,USA,High,93,Center F
10002415,USA,High,65,Center F
10002425,USA,High,77,Center F
10002435,USA,High,55,Center F
10002445,USA,High,86,Center F
10002455,USA,High,92,Center F
10002465,USA,High,68,Center F
10002475,USA,High,87,Center F
10002485,USA,High,78,Center F
10002495,USA,High,93,Center F
10002505,USA,High,53,Center F
10002515,USA,High,68,Center F
10002525,USA,High,83,Center F
10002535,USA,High,95,Center F
10002545,USA,High,80,Center F
10002555,USA,High,85,Center F
10002565,USA,High,94,Center F
10002575,USA,High,92,Center F
10002585,USA,High,80,Center F
10002595,USA,High,90,Center F
10002615,USA,High,58,Center F
10002645,USA,High,78,Center F
10002655,USA,High,65,Center F
10002665,USA,High,67,Center F
10002675,USA,High,59,Center F
10002685,USA,High,74,Center F
10002695,USA,High,95,Center F
10002715,USA,High,67,Center F
10002745,USA,High,74,Center F
10002765,USA,High,87,Center F
10002775,USA,High,86,Center F
10002785,USA,High,90,Center F
10002795,USA,High,71,Center F
10002825,USA,High,63,Center F
10002835,USA,High,75,Center F
10002845,USA,High,78,Center F
10002855,USA,High,86,Center F
10002865,USA,High,87,Center F
10002875,USA,High,80,Center F
10002885,USA,High,83,Center F
10002905,USA,High,68,Center F
10002915,USA,High,83,Center F
10002925,USA,High,83,Center F
10002935,USA,High,79,Center F
10002945,USA,High,59,Center F
10002955,USA,High,79,Center F
10002965,USA,High,81,Center F
10002985,USA,High,79,Center F
10002995,USA,High,84,Center F
10003005,USA,High,66,Center F
10003015,USA,High,88,Center F
10003025,USA,High,83,Center F
10003035,USA,High,53,Center F
10003045,USA,High,77,Center F
10003055,USA,High,54,Center F
10003085,USA,High,92,Center F
10003095,USA,High,80,Center F
10003105,USA,High,68,Center F
10003125,USA,High,93,Center F
10003135,USA,High,93,Center F
10003145,USA,High,74,Center F
10003155,USA,High,94,Center F
10003175,USA,High,69,Center F
10003185,USA,High,94,Center F
10003225,USA,High,95,Center F
10003245,USA,High,86,Center F
10003255,USA,High,84,Center F
10003265,USA,High,54,Center F
10003285,USA,High,90,Center F
10003295,USA,High,88,Center F
10003305,USA,High,82,Center F
10003315,USA,High,94,Center F
10003335,USA,High,67,Center F
10003345,USA,High,75,Center F
10003355,USA,High,95,Center F
10003365,USA,High,60,Center F
10003375,USA,High,63,Center F
10003405,USA,High,67,Center F
10003415,USA,High,65,Center F
10003425,USA,High,83,Center F
10003435,USA,High,56,Center F
10003445,USA,High,76,Center F
10003455,USA,High,95,Center F
10003465,USA,High,57,Center F
10003475,USA,High,55,Center F
10003485,USA,High,51,Center F
10003495,USA,High,79,Center F
10003525,USA,High,76,Center F
10003535,USA,High,54,Center F
10003545,USA,High,75,Center F
10003555,USA,High,86,Center F
10003565,USA,High,54,Center F
10003575,USA,High,94,Center F
10003585,USA,High,53,Center F
10003595,USA,High,71,Center F
10003605,USA,High,71,Center F
10003615,USA,High,92,Center F
10003625,USA,High,53,Center F
10003635,USA,High,80,Center F
10003645,USA,High,64,Center F
10003655,USA,High,88,Center F
10003665,USA,High,59,Center F
10003675,USA,High,83,Center F
10003685,USA,High,77,Center F
10003695,USA,High,67,Center F
10003705,USA,High,69,Center F
10003715,USA,High,58,Center F
10003765,USA,High,63,Center F
10003785,USA,High,89,Center F
10003795,USA,High,51,Center F
10003805,USA,High,85,Center F
10003825,USA,High,86,Center F
10003835,USA,High,51,Center F
10003855,USA,High,81,Center F
10003865,USA,High,57,Center F
10003875,USA,High,83,Center F
10003885,USA,High,60,Center F
10003895,USA,High,71,Center F
10003905,USA,High,57,Center F
10003915,USA,High,90,Center F
10003925,USA,High,85,Center F
10003945,USA,High,60,Center F
10003965,USA,High,82,Center F
10003975,USA,High,65,Center F
10003985,USA,High,63,Center F
10003995,USA,High,81,Center F
10004005,USA,High,79,Center F
10004015,USA,High,75,Center F
10004025,USA,High,54,Center F
10004035,USA,High,69,Center F
10004055,USA,High,65,Center F
10004065,USA,High,76,Center F
10004075,USA,High,85,Center F
10004105,USA,High,53,Center F
10004125,USA,High,82,Center F
10004135,USA,High,82,Center F
10004145,USA,High,95,Center F
10004155,USA,High,93,Center F
10004165,USA,High,65,Center F
10004175,USA,High,64,Center F
10004195,USA,High,52,Center F
10004205,USA,High,68,Center F
10004215,USA,High,85,Center F
10004225,USA,High,54,Center F
10004235,USA,High,89,Center F
10004245,USA,High,84,Center F
10004255,USA,High,63,Center F
10004265,USA,High,55,Center F
10004285,USA,High,66,Center F
10004295,USA,High,60,Center F
10004305,USA,High,76,Center F
10004335,USA,High,60,Center F
10004345,USA,High,92,Center F
10004355,USA,High,68,Center F
10004365,USA,High,59,Center F
10004375,USA,High,84,Center F
10004385,USA,High,86,Center F
10004405,USA,High,79,Center F
10004415,USA,High,71,Center F
10004425,USA,High,77,Center F
10004445,USA,High,75,Center F
10004455,USA,High,53,Center F
10004465,USA,High,63,Center F
10004475,USA,High,64,Center F
10004485,USA,High,90,Center F
10004495,USA,High,89,Center F
10004505,USA,High,81,Center F
10004515,USA,High,65,Center F
10004525,USA,High,95,Center F
10004535,USA,High,64,Center F
10004545,USA,High,85,Center F
10004555,USA,High,86,Center F
10004565,USA,High,95,Center F
10004575,USA,High,80,Center F
10004605,USA,High,59,Center F
10004615,USA,High,79,Center F
10004625,USA,High,56,Center F
10004635,USA,High,60,Center F
10004645,USA,High,81,Center F
10004655,USA,High,95,Center F
10004665,USA,High,74,Center F
10004675,USA,High,94,Center F
10004685,USA,High,51,Center F
10004715,USA,High,95,Center F
10004725,USA,High,57,Center F
10004735,USA,High,74,Center F
10004745,USA,High,67,Center F
10004755,USA,High,57,Center F
10004765,USA,High,66,Center F
10004775,USA,High,78,Center F
10004795,USA,High,75,Center F
10004805,USA,High,89,Center F
10004815,USA,High,77,Center F
10004825,USA,High,66,Center F
10004835,USA,High,67,Center F
10004845,USA,High,89,Center F
10004855,USA,High,59,Center F
10004865,USA,High,58,Center F
10004875,USA,High,55,Center F
10004885,USA,High,93,Center F
10004895,USA,High,71,Center F
10004905,USA,High,52,Center F
10004915,USA,High,52,Center F
10004925,USA,High,67,Center F
10004935,USA,High,80,Center F
10004945,USA,High,93,Center F
10004965,USA,High,79,Center F
10004975,USA,High,57,Center F
10004985,USA,High,94,Center F
10004995,USA,High,59,Center F
10005015,USA,High,56,Center F
10005025,USA,High,63,Center F
10005035,USA,High,56,Center F
10005045,USA,High,60,Center F
10005055,USA,High,53,Center F
10005075,USA,High,76,Center F
10005085,USA,High,53,Center F
10005095,USA,High,78,Center F
10005125,USA,High,87,Center F
10005135,USA,High,82,Center F
10005145,USA,High,88,Center F
10005155,USA,High,67,Center F
10005165,USA,High,76,Center F
10005175,USA,High,83,Center F
10005185,USA,High,66,Center F
10005205,USA,High,86,Center F
10005225,USA,High,65,Center F
10005235,USA,High,59,Center F
10005245,USA,High,66,Center F
10005265,USA,High,83,Center F
10005275,USA,High,88,Center F
10005285,USA,High,77,Center F
10005295,USA,High,83,Center F
10005315,USA,High,51,Center F
10005325,USA,High,78,Center F
10005335,USA,High,92,Center F
10005345,USA,High,71,Center F
10005355,USA,High,80,Center F
10005365,USA,High,52,Center F
10005375,USA,High,80,Center F
10005385,USA,High,76,Center F
10005395,USA,High,66,Center F
10005405,USA,High,68,Center F
10005415,USA,High,92,Center F
10005425,USA,High,68,Center F
10005435,USA,High,59,Center F
10005445,USA,High,53,Center F
10005455,USA,High,56,Center F
10005465,USA,High,88,Center F
10005475,USA,High,89,Center F
10005485,USA,High,81,Center F
10005495,USA,High,83,Center F
10005505,USA,High,53,Center F
10005525,USA,High,90,Center F
10005535,USA,High,77,Center F
10005545,USA,High,90,Center F
10005555,USA,High,68,Center F
10005565,USA,High,57,Center F
10005585,USA,High,66,Center F
10005595,USA,High,52,Center F
10005605,USA,High,52,Center F
10005625,USA,High,67,Center F
10005635,USA,High,92,Center F
10005655,USA,High,95,Center F
10005665,USA,High,71,Center F
10005685,USA,High,55,Center F
10005705,USA,High,81,Center F
10005725,USA,High,57,Center F
10005755,USA,High,83,Center F
10005775,USA,High,71,Center F
10005805,USA,High,65,Center F
10005825,USA,High,71,Center F
10005835,USA,High,63,Center F
10005855,USA,High,86,Center F
10005875,USA,High,77,Center F
10005895,USA,High,95,Center F
10005905,USA,High,93,Center F
10005915,USA,High,52,Center F
10005935,USA,High,66,Center F
10005945,USA,High,92,Center F
10005955,USA,High,87,Center F
10005965,USA,High,87,Center F
10005975,USA,High,88,Center F
10005985,USA,High,79,Center F
10006005,USA,High,66,Center F
10006015,USA,High,51,Center F
10006025,USA,High,85,Center F
10006035,USA,High,65,Center F
10006045,USA,High,87,Center F
10006055,USA,High,54,Center F
10006065,USA,High,83,Center F
10006075,USA,High,77,Center F
10006085,USA,High,81,Center F
10006095,USA,High,60,Center F
10006105,USA,High,94,Center F
10006115,USA,High,53,Center F
10006125,USA,High,92,Center F
10006135,USA,High,66,Center F
10006145,USA,High,53,Center F
